,
abies,eg
acer,sg
acer_negundo,sg
alisma,sg
alnus,sg
alnus_incana,sg
alnus_rubra,sg
alnus_undiff,NA
alnus_viridis,sg
alnus_viridis_subsp_crispa,sg
amaranthaceae,sg
amaranthaceae_undiff,NA
ambrosia,ol
ambrosia_type,NA
androsace,eg
angiospermae_undiff_herbs,NA
angiospermae_undiff_upland_herbs,NA
apiaceae,sg
apiaceae_undiff,NA
apocynum,sg
arceuthobium,eg
arceuthobium_americanum,eg
artemisia,ol
asteraceae_undiff,NA
asteroideae,ol 
asteroideae_undiff,nA
astragalus,ol
betula,sg 
betula_det_shrub,sg
betula_det_tree,sg
betula_undiff,NA
bistorta_officinalis_type,NA
bistorta_vivipara,ol
brassicaceae,ol
caltha,ol
campanula,sg
campanulaceae,sg
caprifoliaceae,sg
caprifoliaceae_sensu_lato_undiff,NA
caryophyllaceae,ol
caryophyllaceae_undiff,NA
chamaenerion_angustifolium,sg
cichorioideae,sg
claytonia,eg
convolvulus_type,NA
cornus,st
cornus_canadensis,st
cornus_canadensis_type,NA
cornus_sericea,st
cornus_undiff,NA
corylus,sg
cupressaceae,eg
cyclachaena_xanthiifolia,sg
cyperaceae,ol
dodecatheon,sg
dryas,eg
elaeagnaceae_undiff,NA
elaeagnus,sg
elaeagnus_commutata,sg
ephedra,ol
ephedra_nevadensis_type,NA
epilobium,sg
ericaceae,eg
ericales,ol
fabaceae,ol
fabaceae_undiff,NA
fragaria_type,NA
fraxinus,sg
galium,ol
gentianaceae,ol
hedysarum,sg
heracleum,ol
heuchera_type,NA
hippuris_vulgaris,sg
impatiens_capensis,sg
juncus,ol
juniperus,eg
juniperus_thuja,eg
koenigia_alaskana,ol
lamiaceae,ol
lamiaceae_undiff,NA
larix,eg
larix_pseudotsuga,eg
liliaceae,ol
lithocarpus_type,NA
lonicera,eg
lupinus,eg
lycopus,ol
lycopus_type,NA
menyanthes_trifoliata,sg
myrica,eg
myriophyllum,eg
nuphar,sg
nymphaea,sg
oenothera,sg
onagraceae,sg
onagraceae_undiff,NA
ostrya_carpinus,sg
oxyria_digyna_type,NA
oxytropis,ol
oxytropis_type,NA
parnassia,ol
persicaria_amphibia_type,NA
phlox,sg
picea,eg
picea_det_p_glauca,eg
picea_det_p_mariana,eg
picea_undiff,NA
pinaceae_vesiculate_undiff,NA
pinus,eg
pinus_contorta,eg
pinus_monticola,eg
pinus_subg_pinus,eg
pinus_subg_strobus,eg
pinus_undiff,NA
plantago,NA
plantago_canescens,NA
plantago_major,NA
plantago_undiff,NA
poaceae,ol
polemonium,ol
polygonum_sensu_lato,sg
populus,sg
potamogeton,sg
potamogetonaceae,sg
potamogetonaceae_triglochin,sg
potamogetonaceae_type,NA
potentilla,ol
potentilla_type,NA
pseudotsuga,eg
pyrola,ol
quercus,sg
ranunculaceae,ol
ranunculaceae_undiff,NA
ranunculus,ol
ranunculus_type,NA
rosaceae,sg
rosaceae_undiff,NA
rubus,sg
rubus_chamaemorus,sg
rumex,ol
rumex_type,NA
ruppia,sg
ruppia_maritima,sg
salix,sg
salsola,ol
sambucus,eg
sarcobatus_vermiculatus,ol
saussurea,ol
saxifraga,eg
saxifragaceae,eg
saxifragaceae_undiff,NA
scrophulariaceae,ol
scutellaria_type,NA
shepherdia,sg
shepherdia_argentea,sg
shepherdia_canadensis,sg
sparganium,sg
sparganium_type,NA
spermatophyta_undiff_aquatics,NA
stachys_type,NA
stellaria,eg
stellaria_type,NA
thalictrum,ol
tilia,sg
tsuga,eg
tsuga_heterophylla,eg
typha,sg
typha_latifolia,sg
ulmus,sg
urticaceae,sg
valeriana,ol
vitis,sg
xanthium,sg
