Corylus-type,sg,Summergreen
Polygonum oxyspermum-type,ol,Openland
Ruppia maritima-type,ol,Openland
Rubus-type,ol,Openland
Galium-type,ol,Openland
Celtis-type,sg,Summergreen
Ambrosiinae,ol,Openland
Arctous alpina/A. rubra,eg,Evergreen
Thalictrum/Coptis,ol,Openland
Rhynchospora-type,ol,Openland
Cladium,ol,Openland
cf. Lysimachia,ol,Openland
Rhododendron subsect. Ledum-type,eg,Evergreen
Andromeda,eg,Evergreen
cf. Juglans,sg,Summergreen
Magnolia,sg,Summergreen
Aconitum,ol,Openland
Pedicularis lanceolata,ol,Openland
Pyrola,eg,Evergreen
Saxifraga tricuspidata,ol,Openland
Micranthes hieraciifolia,ol,Openland
Oxytropis,ol,Openland
Bupleurum,ol,Openland
Douglasia,ol,Openland
Mertensia-type,ol,Openland
Cnidium,ol,Openland
Saussurea,uk,Unknown
Saxifraga cernua,ol,Openland
Gentiana,ol,Openland
Lupinus,ol,Openland
Lagotis glauca,ol,Openland
Lesquerella,ol,Openland
Buxus,eg,Evergreen
Betula (>20 Âµm),sg,Summergreen
Liriodendron,sg,Summergreen
Portulacaceae,ol,Openland
Ceanothus-type,sg,Summergreen
Scrophulariaceae-type,ol,Openland
Vaccinium macrocarpon-type,eg,Evergreen
Kalmia,eg,Evergreen
Betulaceae,sg,Summergreen
Micranthes nivalis-type,ol,Openland
Saxifraga cf. S. hirculus,ol,Openland
Coptis-type,ol,Openland
Potamogetonaceae undiff.,uk,Unknown
Thalictrum cf. T. dasycarpum,ol,Openland
Thalictrum cf. T. dioicum,ol,Openland
Thalictrum venulosum-type,ol,Openland
Hydrophyllum cf. H. virginianum,ol,Openland
cf. Heuchera richardsonii,ol,Openland
Apiaceae cf. Sium suave,ol,Openland
Phacelia cf. P. franklinii,ol,Openland
Plantago rugelii,ol,Openland
Triantha glutinosa,ol,Openland
cf. Mertensia paniculata,ol,Openland
Ericaceae-type,eg,Evergreen
Phlox pilosa-type,ol,Openland
Acer negundo-type,sg,Summergreen
Medicago sativa,ol,Openland
Thalictrum-type,ol,Openland
cf. Robinia,sg,Summergreen
Cornus rugosa,sg,Summergreen
cf. Taxus canadensis,eg,Evergreen
Valerianella-type,ol,Openland
Cornus canadensis-type,sg,Summergreen
Garrya-type,sg,Summergreen
Eriogonum-type,ol,Openland
Clusiaceae,ol,Openland
Trifolium-type,ol,Openland
Trientalis,ol,Openland
Claytonia,ol,Openland
Lamiaceae cf. Stachys,ol,Openland
Euphorbiaceae,ol,Openland
cf. Saxifragaceae,ol,Openland
Brasenia,ol,Openland
Cephalanthus occidentalis,sg,Summergreen
Moneses uniflora,ol,Openland
Fabaceae cf. Melilotus,ol,Openland
cf. Rhamnus alnifolia,sg,Summergreen
Prunus americana-type,sg,Summergreen
Ranunculus flabellaris-type,ol,Openland
Gaultheria procumbens,eg,Evergreen
cf. Viburnum lentago,sg,Summergreen
Toxicodendron radicans-type,sg,Summergreen
cf. Amorpha,sg,Summergreen
Laportea,ol,Openland
Apocynum,ol,Openland
Eupatorium,ol,Openland
Caryophyllaceae cf. Dianthus,ol,Openland
Prunus/Sorbus,sg,Summergreen
Malvaceae sensu stricto,ol,Openland
Acer glabrum,sg,Summergreen
Acer circinatum,sg,Summergreen
Saxifraga tricuspidata-type,ol,Openland
Typha angustifolia/Sparganium,ol,Openland
Rosaceae (trees),ol,Openland
Pterocarya,sg,Summergreen
Frangula alnus,sg,Summergreen
Dicentra,ol,Openland
cf. Decodon verticillatus,ol,Openland
cf. Rhamnus,sg,Summergreen
cf. Geranium,ol,Openland
cf. Rumex,ol,Openland
cf. Shepherdia,sg,Summergreen
cf. Nymphaea,ol,Openland
Cannabaceae cf. Humulus,ol,Openland
cf. Ilex,eg,Evergreen
cf. Rhus,sg,Summergreen
Salix herbacea,sg,Summergreen
Plantago lanceolata-type,ol,Openland
Koenigia alaskana,ol,Openland
Rhododendron,eg,Evergreen
Circaea,ol,Openland
Cornus alternifolia,sg,Summergreen
Aralia hispida,sg,Summergreen
Anacardiaceae,sg,Summergreen
Acer macrophyllum,sg,Summergreen
Chrysolepis-type,eg,Evergreen
Shepherdia canadensis-type,sg,Summergreen
Arceuthobium americanum,uk,Unknown
Betula (shrub),sg,Summergreen
Betula (tree),sg,Summergreen
Impatiens capensis,ol,Openland
Cerastium-type,ol,Openland
Vicia-type,ol,Openland
Arenaria,ol,Openland
Dalea purpurea-type,sg,Summergreen
Pontederia,ol,Openland
Acer cf. A. pensylvanicum,sg,Summergreen
Gentiana douglasiana,ol,Openland
Caltha leptosepala,ol,Openland
Coptis aspleniifolia,ol,Openland
Achillea-type,ol,Openland
Avena/Triticum,ol,Openland
Hydrocotyle,ol,Openland
Acorus calamus,ol,Openland
Rhus typhina-type,sg,Summergreen
Toxicodendron radicans,sg,Summergreen
Gleditsia,sg,Summergreen
Ribes cf. R. glandulosum,sg,Summergreen
Lonicera involucrata,sg,Summergreen
Plantago uniflora,ol,Openland
Myosotis-type,ol,Openland
Carya cordiformis,sg,Summergreen
Pinguicula cf. P. villosa,ol,Openland
Eupatorium perfoliatum,ol,Openland
Parthenocissus vitacea,sg,Summergreen
Malva,ol,Openland
Pinus subg. Strobus undiff.,uk,Unknown
Ranunculaceae (tricolpate) undiff.,uk,Unknown
Ranunculaceae (pericolpate),ol,Openland
Pinus edulis-type,eg,Evergreen
cf. Parnassia,ol,Openland
Thuja plicata-type,eg,Evergreen
Viscaceae sensu stricto undiff.,uk,Unknown
Primulaceae undiff.,uk,Unknown
Mimulus,ol,Openland
Hypericum-type,ol,Openland
Rhynchospora,ol,Openland
Acalypha,ol,Openland
Cannabis sativa,ol,Openland
cf. Lysimachia thyrsiflora,ol,Openland
cf. Cephalanthus,sg,Summergreen
Plantago media,ol,Openland
Clethra,sg,Summergreen
Pontederiaceae,ol,Openland
Butomus umbellatus,ol,Openland
Heuchera,ol,Openland
Penstemon,ol,Openland
Trifolium,ol,Openland
Delphinium,ol,Openland
Fabaceae cf. Melilotus officinalis,ol,Openland
Fabaceae cf. Trifolium,ol,Openland
Myriophyllum verticillatum-type,ol,Openland
Rhynchospora alba,ol,Openland
Phacelia hastata-type,ol,Openland
Fraxinus/Platanus,sg,Summergreen
Caltha palustris,ol,Openland
Fragaria,ol,Openland
Lythraceae,ol,Openland
Fallopia convolvulus,ol,Openland
Maianthemum trifolia-type,ol,Openland
Fagus grandifolia,sg,Summergreen
Smilax,ol,Openland
Urtica dioica-type,ol,Openland
Liquidambar styraciflua,sg,Summergreen
Coptis,ol,Openland
cf. Gentiana,ol,Openland
Gaultheria,eg,Evergreen
Gaylussacia,sg,Summergreen
Bistorta officinalis,ol,Openland
Pedicularis groenlandica-type,ol,Openland
Holodiscus-type,sg,Summergreen
Potamogeton/Triglochin,ol,Openland
Pedicularis contorta-type,ol,Openland
Polemoniaceae undiff.,uk,Unknown
Drosera rotundifolia,ol,Openland
Sphaeralcea-type,ol,Openland
Ribes montigenum,sg,Summergreen
Lonicera caerulea,sg,Summergreen
Bistorta vivipara-type,ol,Openland
Cannabaceae sensu stricto undiff.,uk,Unknown
Sphaeralcea coccinea,ol,Openland
Micranthes hieraciifolia-type,ol,Openland
Brassicaceae-type undiff.,uk,Unknown
Rhamnus/Vitis undiff.,uk,Unknown
Ligusticum,ol,Openland
Amorpha fruticosa,sg,Summergreen
